ISO,Country,month,Trade_Exports,Trade_Imports,Trade_Total,ln_GDP,ln_GDP_product,ln_ER,FTA_Dummy
AE,United Arab Emirates,2002-04-01,280.989,28.006,308.995,25.454616947536742,54.16916040270606,1.3008726290658952,0
AE,United Arab Emirates,2002-05-01,259.189,25.369,284.558,25.461000372221367,54.19910666916146,1.3008726290658952,0
AE,United Arab Emirates,2002-06-01,279.542,40.16,319.702,25.46734330712207,54.22846999547334,1.3008726290658952,0
AE,United Arab Emirates,2002-07-01,327.297,13.388,340.685,25.47990973963717,54.26353878399484,1.3008726290658952,0
AE,United Arab Emirates,2002-08-01,291.813,50.056,341.869,25.48613422954534,54.30864556549744,1.3008726290658952,0
AE,United Arab Emirates,2002-09-01,334.133,41.959,376.092,25.492320214727705,54.35225842321667,1.3008726290658952,0
AE,United Arab Emirates,2002-10-01,327.559,74.65,402.209,25.504578556049932,54.40059325493449,1.3008726290658952,0
AE,United Arab Emirates,2002-11-01,323.36,52.443,375.803,25.510651833270664,54.3570148793927,1.3008726290658952,0
AE,United Arab Emirates,2002-12-01,384.819,42.366,427.185,25.516688448342666,54.31080516421952,1.3008726290658952,0
AE,United Arab Emirates,2003-01-01,349.52,39.772,389.292,25.538216567202305,54.27720606672299,1.3008726290658952,0
AE,United Arab Emirates,2003-02-01,223.086,28.487,251.573,25.55350686491139,54.32174327054896,1.3008726290658952,0
AE,United Arab Emirates,2003-03-01,307.907,32.595,340.502,25.568566885995704,54.365219066686414,1.3008726290658952,0
AE,United Arab Emirates,2003-04-01,339.535,81.104,420.639,25.592459380576386,54.416742140620435,1.3008726290658952,0
AE,United Arab Emirates,2003-05-01,403.301,28.523,431.824,25.60143402323888,54.453626201971126,1.3008726290658952,0
AE,United Arab Emirates,2003-06-01,423.185,73.56,496.745,25.610328837589986,54.48967260217834,1.3008726290658952,0
AE,United Arab Emirates,2003-07-01,481.887,85.303,567.19,25.62788457490897,54.53366216221843,1.3008726290658952,0
AE,United Arab Emirates,2003-08-01,427.889,58.521,486.41,25.636548203667218,54.58393644427427,1.3008726290658952,0
AE,United Arab Emirates,2003-09-01,492.627,123.501,616.128,25.645137418197997,54.632473813032966,1.3008726290658952,0
AE,United Arab Emirates,2003-10-01,489.517,74.745,564.262,25.662097642263852,54.687847450132736,1.3008726290658952,0
AE,United Arab Emirates,2003-11-01,502.081,41.258,543.339,25.670471091447332,54.65203330345661,1.3008726290658952,0
AE,United Arab Emirates,2003-12-01,599.289,107.522,706.811,25.67877500780619,54.614106449579026,1.3008726290658952,0
AE,United Arab Emirates,2004-01-01,479.636252,102.177611,581.813863,25.706477335152982,54.59333668609383,1.3008726290658952,0
AE,United Arab Emirates,2004-02-01,330.849439,90.346931,421.19637,25.72557240233297,54.65102292463447,1.3008726290658952,0
AE,United Arab Emirates,2004-03-01,552.336002,88.082599,640.418601,25.744309669470233,54.706917257101416,1.3008726290658952,0
AE,United Arab Emirates,2004-04-01,627.537459,98.370421,725.90788,25.773266992194223,54.771700318178226,1.3008726290658952,0
AE,United Arab Emirates,2004-05-01,566.890275,83.13612,650.026395,25.783721238373996,54.80893543821579,1.3008726290658952,0
AE,United Arab Emirates,2004-06-01,620.186186,140.678341,760.864527,25.794067323062603,54.84536384862677,1.3008726290658952,0
AE,United Arab Emirates,2004-07-01,578.389912,121.250995,699.640907,25.814443801468087,54.891159621797975,1.3008726290658952,0
