ISO,b_pos,se_pos,b_neg,se_neg,sensitivity,se_sens,precision,trade,Country,FTA,developed,us_ally,z_trade_dep,region,vol_GDELT,vol_ICEWS,vol_Phoenix,vol_Tsinghua
AE,-0.0734308185271934,0.00944139955445366,-0.0425784983287878,0.0393424112023889,0.0308523201984056,0.0404594283791145,610.886481621727,Trade_Total,United Arab Emirates,0,0,0,-0.607015711650556,Asia_MiddleEast,1.24376129230873,2.12106740236846,3.29563833033236,
AE,-0.0661348504813211,0.00699287254148146,0.0464061153164747,0.0318451676681219,0.112540965797796,0.0326039103512478,940.72052420785,Trade_Exports,United Arab Emirates,0,0,0,-0.607015711650556,Asia_MiddleEast,1.24376129230873,2.12106740236846,3.29563833033236,
AE,-0.0714647176985967,0.0161311469701658,-0.163128241149381,0.0409224116779063,-0.0916635234507843,0.0439870171767663,516.833878936045,Trade_Imports,United Arab Emirates,0,0,0,-0.607015711650556,Asia_MiddleEast,1.24376129230873,2.12106740236846,3.29563833033236,
AU,-0.118612445851813,0.0135748369236088,0.141570612163412,0.0383150251384419,0.260183058015225,0.0406487066074925,605.210615677869,Trade_Total,Australia,0.416083916083916,1,1,0.166810037249008,Other,1.03236779784094,1.44146726758294,2.93147694946276,3.54823694657528
AU,-0.0251229854445955,0.0133237663501689,0.0820926209171218,0.0474488208923731,0.107215606361717,0.0492840070796845,411.706740556636,Trade_Exports,Australia,0.416083916083916,1,1,0.166810037249008,Other,1.03236779784094,1.44146726758294,2.93147694946276,3.54823694657528
AU,-0.176520892756454,0.0214245851134228,0.168716443202402,0.0369195214214568,0.345237335958856,0.0426856405512639,548.828169479362,Trade_Imports,Australia,0.416083916083916,1,1,0.166810037249008,Other,1.03236779784094,1.44146726758294,2.93147694946276,3.54823694657528
BR,-0.0156378292779576,0.00782552940087245,-0.0295875456411758,0.064047610985851,-0.0139497163632182,0.0645239132678639,240.192035450104,Trade_Total,Brazil,0,0,0,-0.145432802280652,Americas,1.27032861565416,1.69747701265604,2.98772811394604,
BR,-0.0291456923894718,0.0100946791771438,0.0118885862319064,0.0737032592637738,0.0410342786213782,0.0743913501275015,180.698737572789,Trade_Exports,Brazil,0,0,0,-0.145432802280652,Americas,1.27032861565416,1.69747701265604,2.98772811394604,
BR,0.0093223477710107,0.0117700014982599,-0.0625122514118391,0.070601223346137,-0.0718345991828498,0.0715755941172699,195.195623828014,Trade_Imports,Brazil,0,0,0,-0.145432802280652,Americas,1.27032861565416,1.69747701265604,2.98772811394604,
CA,-0.010998675830997,0.0185726601748228,0.0701313327433037,0.0140686715392356,0.0811300085743007,0.0232995970962664,1842.05747924723,Trade_Total,Canada,0,1,1,-0.507065144636156,Americas,1.34987875454422,2.26230299037336,3.50848012275276,
CA,0.083072240588246,0.0329295867125474,0.040369227385114,0.015646356601603,-0.042703013203132,0.0364577310863376,752.351386253102,Trade_Exports,Canada,0,1,1,-0.507065144636156,Americas,1.34987875454422,2.26230299037336,3.50848012275276,
CA,-0.144658499526793,0.0151825906695347,0.115677582672254,0.0221465910147654,0.260336082199047,0.026851118282372,1386.99611498183,Trade_Imports,Canada,0,1,1,-0.507065144636156,Americas,1.34987875454422,2.26230299037336,3.50848012275276,
DE,0.0113990312841365,0.00595058192900283,-0.0484342195273045,0.0321271186710357,-0.059833250811441,0.0326735547407469,936.714465924311,Trade_Total,Germany,0,1,1,0.486294963936142,Europe,0.919171462700665,1.47729905430658,2.62767202778344,3.2292533960098
DE,0.00745717209781568,0.00660258076520281,-0.0224381370879351,0.0355585671878277,-0.0298953091857508,0.0361663624548044,764.522619456134,Trade_Exports,Germany,0,1,1,0.486294963936142,Europe,0.919171462700665,1.47729905430658,2.62767202778344,3.2292533960098
